SecrutyID;Horario;TipoOferta;Preço;Quantidade
3809779;20140610-13:26:15.156;0;0;0
3809779;20140610-13:26:15.157;1;7.41;100
3803947;20140610-13:26:15.535;1;0;0
3803947;20140610-13:26:15.545;1;17.1;200
3803947;20140610-13:26:16.045;1;0;0
3803947;20140610-13:26:16.052;1;17.11;800
3809688;20140610-13:26:16.605;1;0;0
3809688;20140610-13:26:16.942;0;29.38;6200
3809654;20140610-13:26:16.967;0;8.2;6400
3809654;20140610-13:26:16.969;1;0;0
3809654;20140610-13:26:17.061;0;8.2;100
3809654;20140610-13:26:17.061;0;0;0
3809654;20140610-13:26:17.062;0;8.2;100
3809654;20140610-13:26:17.062;0;0;0
3809654;20140610-13:26:17.063;0;8.2;100
3809654;20140610-13:26:17.064;0;0;0
3809688;20140610-13:26:17.089;0;29.38;6100
3809688;20140610-13:26:17.094;0;29.38;5900
3809688;20140610-13:26:17.108;0;29.38;5800
3809654;20140610-13:26:18.849;1;0;0
3809654;20140610-13:26:18.850;0;8.19;100
3809688;20140610-13:26:19.509;0;29.38;5900
3809688;20140610-13:26:20.138;0;0;0
3803947;20140610-13:26:21.069;0;17.02;700
3809688;20140610-13:26:21.760;1;29.39;3700
3809688;20140610-13:26:22.418;0;0;0
3809688;20140610-13:26:22.419;0;29.39;3600
3809688;20140610-13:26:22.424;0;29.38;4000
3809688;20140610-13:26:22.429;0;29.38;5800
3809654;20140610-13:26:22.776;0;7.45;1000
3803947;20140610-13:26:23.555;1;0;0
3803947;20140610-13:26:23.556;1;17.06;100
3803947;20140610-13:26:25.451;0;0;0
3809654;20140610-13:26:25.513;0;8.2;6300
3809654;20140610-13:26:25.514;0;8.2;100
3809654;20140610-13:26:25.514;0;0;0
3809654;20140610-13:26:25.515;0;8.2;100
3809654;20140610-13:26:25.516;0;0;0
3809688;20140610-13:26:25.516;1;0;0
3809654;20140610-13:26:25.517;0;8.2;100
3809654;20140610-13:26:25.517;0;0;0
3809654;20140610-13:26:25.560;1;8.22;200
3803947;20140610-13:26:25.578;0;16.98;400
3803947;20140610-13:26:25.636;1;0;0
3803947;20140610-13:26:25.638;0;0;0
3803947;20140610-13:26:25.644;1;17.1;800
3809688;20140610-13:26:25.662;0;29.39;3200
3809688;20140610-13:26:25.664;1;0;0
3809688;20140610-13:26:25.666;0;29.36;2000
3809688;20140610-13:26:25.668;0;29.38;5700
3809688;20140610-13:26:25.670;0;29.39;4600
3809688;20140610-13:26:25.677;0;29.38;4000
3809688;20140610-13:26:25.686;0;29.38;8400
3809688;20140610-13:26:25.717;0;29.38;5700
3809688;20140610-13:26:25.865;1;29.49;2000
3803947;20140610-13:26:25.899;1;17.102;100
3803947;20140610-13:26:25.961;1;17.04;100
3803947;20140610-13:26:25.963;1;17.04;200
3803947;20140610-13:26:26.127;1;0;0
3803947;20140610-13:26:26.139;1;17.1;400
3803947;20140610-13:26:26.152;1;0;0
3803947;20140610-13:26:26.164;1;17.11;800
3803947;20140610-13:26:26.300;0;17.02;400
3803947;20140610-13:26:26.302;0;17.02;200
3809688;20140610-13:26:26.350;0;0;0
3809688;20140610-13:26:26.357;0;29.38;2900
3809688;20140610-13:26:26.358;0;29.38;3000
3809688;20140610-13:26:26.369;0;29.38;1900
3809688;20140610-13:26:26.369;0;29.38;2000
3809688;20140610-13:26:26.551;0;29.33;2000
3803947;20140610-13:26:27.315;1;17.07;100
3809688;20140610-13:26:27.361;0;29.38;2100
3809688;20140610-13:26:27.361;0;29.38;6500
3809654;20140610-13:26:28.089;1;0;0
3809654;20140610-13:26:28.090;0;8.2;100
3809654;20140610-13:26:28.218;1;8.22;200
3809688;20140610-13:26:28.620;1;29.4;300
3803947;20140610-13:26:29.128;1;0;0
3809779;20140610-13:26:29.187;0;0;0
3809779;20140610-13:26:29.188;1;7.39;200
3809779;20140610-13:26:29.261;0;7.37;100
3809779;20140610-13:26:29.261;0;0;0
